NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
2,23,98.326,98.624,0.238,26.842,42.515,28.638,97.995,barber1
3,23,99.167,99.864,0.32,26.961,42.981,29.055,98.997,barber1
5,20,99.083,99.579,0.308,26.706,43.004,28.982,98.692,barber1
7,24,98.581,98.929,0.208,26.824,42.701,28.75,98.275,barber1
13,24,97.428,98.111,0.401,26.592,42.38,28.418,97.39,barber1
18,23,101.379,102.648,0.807,27.538,43.823,29.698,101.059,barber1
21,22,98.775,99.342,0.288,26.745,42.888,28.931,98.564,barber1
22,21,97.746,98.105,0.216,26.644,42.452,28.606,97.702,barber1
31,20,98.542,99.225,0.317,26.902,42.725,28.747,98.374,barber1
41,23,98.391,98.868,0.227,26.778,42.651,28.843,98.272,barber1
46,20,98.202,98.926,0.396,26.684,42.705,28.659,98.048,barber1
47,22,98.251,98.567,0.175,26.763,42.578,28.634,97.975,barber1
51,20,99.41,100.028,0.477,27.03,43.08,29.111,99.221,barber1
55,21,98.094,98.42,0.173,26.702,42.494,28.747,97.943,barber1
58,23,100.156,100.9,0.467,27.232,43.33,29.325,99.887,barber1
72,24,97.737,98.539,0.411,26.643,42.482,28.587,97.712,barber1
80,21,99.807,100.314,0.308,26.94,43.179,29.163,99.282,barber1
88,8,98.845,99.661,0.508,26.908,43.148,28.783,98.839,barber1
93,22,99.332,99.95,0.312,26.986,43.149,29.131,99.266,barber1
98,22,98.086,98.62,0.252,26.768,42.519,28.746,98.033,barber1
111,22,98.944,99.378,0.273,26.922,42.904,28.952,98.778,barber1
113,19,99.056,99.236,0.125,26.89,42.833,28.884,98.607,barber1
2,26,97.678,98.208,0.255,26.629,42.314,28.565,97.508,barber2
3,25,98.92,99.373,0.189,26.886,42.811,28.967,98.664,barber2
5,23,98.185,98.608,0.243,26.638,42.56,28.865,98.063,barber2
7,26,98.237,98.674,0.295,26.65,42.476,28.82,97.946,barber2
13,27,97.35,97.711,0.247,26.544,42.197,28.332,97.073,barber2
18,24,100.296,101.047,0.469,27.28,43.142,29.29,99.712,barber2
21,26,98.074,98.478,0.262,26.618,42.515,28.734,97.867,barber2
22,26,97.304,97.652,0.268,26.505,42.098,28.479,97.082,barber2
31,22,97.882,98.473,0.487,26.693,42.37,28.71,97.773,barber2
41,24,97.945,98.354,0.33,26.619,42.346,28.713,97.678,barber2
46,24,97.91,98.298,0.314,26.675,42.432,28.62,97.727,barber2
47,25,97.968,98.415,0.355,26.616,42.404,28.595,97.615,barber2
51,26,98.345,99.323,0.544,26.729,42.703,28.761,98.193,barber2
55,23,97.792,98.238,0.285,26.639,42.261,28.73,97.63,barber2
58,21,98.84,99.483,0.254,26.859,42.775,28.977,98.611,barber2
72,23,97.945,98.327,0.228,26.586,42.392,28.714,97.692,barber2
80,22,99.01,99.641,0.342,26.997,42.798,29.014,98.809,barber2
88,26,98.176,98.632,0.288,26.668,42.416,28.663,97.747,barber2
93,18,98.961,99.538,0.291,26.918,42.874,29.082,98.874,barber2
98,24,97.693,98.382,0.393,26.64,42.27,28.512,97.422,barber2
111,21,98.304,98.557,0.191,26.759,42.518,28.667,97.944,barber2
113,18,98.382,98.694,0.211,26.69,42.627,28.633,97.95,barber2
